facility_type,monthly_energy_kwh,renewable_energy_pct,peak_load_factor,facility_area_sqm,operational_days_year,equipment_efficiency_rating,logistics_distance_km,fuel_consumed_liters,waste_recycled_pct,water_usage_m3,annual_carbon_footprint_mt,energy_intensity_kwh_sqm,eco_composite_score,sustainability_tier
Manufacturing,1246645.9,16.2,0.75,70550.4,300,4.24,11261.2,6399.7,82.9,60476.4,6554.37,212.0,51.2,Moderate (Tier C)
Manufacturing,1389764.9,40.5,0.64,69458.7,300,3.19,18239.7,12049.4,46.1,40208.2,6622.81,240.1,48.2,Moderate (Tier C)
Data Center,1229684.9,33.4,0.8,30652.4,365,4.56,587.3,788.6,90.0,17679.5,4016.92,481.4,52.1,Moderate (Tier C)
Commercial Office,177872.3,38.6,0.77,19748.9,240,4.37,2254.4,581.5,44.9,6211.8,954.29,108.1,64.6,Efficient (Tier B)
Data Center,327624.3,26.4,0.81,9568.7,365,4.24,2031.0,1740.7,50.5,4409.3,1433.85,410.9,39.1,Moderate (Tier C)
Data Center,962433.9,89.6,0.89,28062.9,365,3.15,2910.5,1738.0,45.8,5694.8,1170.22,411.5,59.2,Efficient (Tier B)
Healthcare,1255702.8,39.0,0.81,39153.4,365,3.82,8201.6,5141.5,26.1,48216.4,5245.11,384.9,34.6,High Risk (Tier D)
Data Center,448946.7,32.3,0.83,8462.1,365,3.46,1398.1,268.0,42.9,4959.0,1781.97,636.6,31.1,High Risk (Tier D)
Commercial Office,162801.4,63.6,0.75,8467.4,260,4.58,1022.7,239.7,49.7,3201.5,519.85,230.7,62.7,Efficient (Tier B)
Logistics Hub,880460.4,49.6,0.59,64078.9,320,3.32,57048.5,4678.5,66.9,5898.8,3333.64,164.9,60.4,Efficient (Tier B)
Data Center,241940.3,23.5,0.86,6186.7,365,4.44,4378.4,1377.3,42.9,3136.4,1094.54,469.3,36.9,Moderate (Tier C)
Commercial Office,125838.7,65.5,0.65,14479.4,260,3.65,2825.3,2048.7,28.1,5214.7,758.76,104.3,58.0,Efficient (Tier B)
Healthcare,1131588.9,38.4,0.68,28953.9,365,3.26,13472.4,904.6,44.6,35555.4,4300.82,469.0,39.6,Moderate (Tier C)
Healthcare,334509.8,41.9,0.74,8262.6,365,3.88,10804.9,4453.7,42.0,11993.8,1395.61,485.8,43.2,Moderate (Tier C)
Manufacturing,2466640.7,12.9,0.69,71990.7,300,3.67,41113.2,12205.2,24.9,48442.2,13448.2,411.2,23.8,High Risk (Tier D)
Healthcare,1058577.6,17.9,0.86,29351.4,365,3.39,4177.1,2770.8,57.0,23156.3,5166.82,432.8,30.0,High Risk (Tier D)
Commercial Office,293935.5,26.8,0.57,16243.4,240,4.44,2774.1,1130.7,27.0,3918.1,1535.53,217.1,47.9,Moderate (Tier C)
Data Center,1116629.9,70.0,0.76,33407.1,360,3.32,4533.3,928.1,85.1,15814.1,2065.9,401.1,51.1,Moderate (Tier C)
Commercial Office,148730.3,15.0,0.59,8617.6,240,4.26,3129.8,1004.3,40.7,2241.1,888.58,207.1,46.6,Moderate (Tier C)
Healthcare,412434.8,24.5,0.85,15704.6,365,3.36,4489.8,3422.2,24.3,21235.9,2167.75,315.1,34.5,High Risk (Tier D)
Commercial Office,221223.8,20.7,0.64,11979.3,240,3.21,6940.6,1781.1,72.6,2642.0,1128.0,221.6,37.7,Moderate (Tier C)
Data Center,590059.1,81.1,0.7,23506.5,365,3.57,3136.0,1256.2,54.6,10987.8,1040.86,301.2,60.4,Efficient (Tier B)
Commercial Office,226109.8,20.9,0.68,14561.7,260,3.86,4293.3,143.2,69.7,5531.0,1074.81,186.3,43.9,Moderate (Tier C)
Manufacturing,2371365.5,39.3,0.64,61025.4,350,4.17,26090.2,13158.4,27.8,44879.2,9103.38,466.3,35.5,Moderate (Tier C)
Manufacturing,1393224.7,49.4,0.87,62172.7,300,3.04,5607.0,5404.9,49.3,43080.9,4739.5,268.9,44.9,Moderate (Tier C)
Manufacturing,851458.7,10.2,0.67,31958.1,300,2.29,19601.9,7189.2,52.7,27511.3,4976.87,319.7,22.4,High Risk (Tier D)
Manufacturing,704655.5,37.2,0.79,21870.6,250,3.34,5359.9,5093.7,39.3,14568.9,3172.64,386.6,42.8,Moderate (Tier C)
Manufacturing,397077.1,53.2,0.76,12141.6,300,2.64,8431.8,3091.2,28.3,13731.0,1427.21,392.4,37.5,Moderate (Tier C)
Manufacturing,1087687.2,74.9,0.85,33187.0,300,3.57,16017.2,13612.9,84.8,19560.0,2047.16,393.3,63.7,Efficient (Tier B)
Commercial Office,91029.3,83.9,0.62,7353.9,240,3.06,7111.1,1098.2,51.5,2324.6,251.87,148.5,64.7,Efficient (Tier B)
Manufacturing,684511.1,13.6,0.87,22433.0,350,1.98,32702.9,8862.8,54.7,25051.3,3429.95,366.2,23.6,High Risk (Tier D)
Data Center,1234981.8,87.5,0.82,31383.9,360,3.14,2654.2,510.2,70.5,20443.5,1302.02,472.2,62.8,Efficient (Tier B)
Healthcare,1075398.7,56.5,0.65,27504.4,365,4.64,4566.8,5917.4,56.1,33277.1,2866.69,469.2,55.0,Efficient (Tier B)
Commercial Office,243347.5,61.3,0.47,15206.6,240,4.16,6153.6,625.7,75.0,3541.8,636.39,192.0,68.4,Efficient (Tier B)
Commercial Office,105451.5,36.6,0.76,4910.9,260,3.84,4314.0,864.3,72.9,1567.9,440.04,257.7,49.5,Moderate (Tier C)
Manufacturing,595892.3,23.4,0.75,14556.6,350,3.72,7078.6,12317.0,35.7,10370.5,3143.92,491.2,29.6,High Risk (Tier D)
Manufacturing,1722274.9,36.9,0.71,41395.9,350,2.76,9037.9,13542.7,45.9,36732.3,7095.75,499.3,33.9,High Risk (Tier D)
Manufacturing,1382450.5,31.6,0.64,31105.8,350,3.88,14124.0,13066.7,52.6,25920.9,5917.22,533.3,40.7,Moderate (Tier C)
Manufacturing,1568520.3,20.7,0.75,49329.6,300,3.85,37390.8,12639.4,50.3,26476.8,7708.0,381.6,33.0,High Risk (Tier D)
Data Center,656711.6,31.5,0.86,12952.7,365,4.04,1006.7,1881.2,62.4,4017.2,2396.99,608.4,43.6,Moderate (Tier C)
Manufacturing,1355733.1,12.2,0.74,34905.7,250,4.15,7850.3,12251.1,27.0,35026.9,7336.36,466.1,25.7,High Risk (Tier D)
Manufacturing,254270.1,73.0,0.76,16575.6,350,2.46,10262.6,5627.3,75.9,18325.6,774.55,184.1,60.7,Efficient (Tier B)
Manufacturing,744751.7,38.1,0.73,17151.2,250,2.99,6842.8,8526.5,59.9,10371.3,2654.06,521.1,33.4,High Risk (Tier D)
Commercial Office,454568.5,76.9,0.6,26326.4,260,4.29,668.4,1539.7,28.6,8124.9,1312.48,207.2,66.8,Efficient (Tier B)
Manufacturing,1279936.1,32.6,0.65,41207.0,250,2.99,38328.4,13152.9,36.5,35668.0,5937.54,372.7,31.6,High Risk (Tier D)
Data Center,2047361.3,78.5,0.93,34464.1,365,3.51,1356.9,1405.9,44.4,6901.1,2956.65,712.9,50.0,Moderate (Tier C)
Commercial Office,98700.7,17.2,0.62,7361.7,240,4.56,1446.1,395.9,29.7,1061.8,628.27,160.9,42.7,Moderate (Tier C)
Commercial Office,287532.7,61.7,0.72,20476.4,240,3.89,4777.3,228.6,38.5,2910.7,1125.05,168.5,55.2,Efficient (Tier B)
Manufacturing,1340517.0,9.5,0.69,42764.6,350,3.3,18640.8,13542.4,61.8,33898.0,7678.26,376.2,32.6,High Risk (Tier D)
Logistics Hub,885522.2,29.2,0.63,53199.5,365,3.23,43772.4,5806.5,83.3,7238.5,4116.08,199.7,53.8,Moderate (Tier C)
Commercial Office,65212.6,72.8,0.74,3136.4,240,3.6,3518.0,463.5,42.2,729.4,173.35,249.5,60.4,Efficient (Tier B)
Manufacturing,362852.5,47.5,0.89,10350.9,300,2.12,17829.3,12411.7,46.2,5271.8,1608.11,420.7,37.1,Moderate (Tier C)
Healthcare,632867.6,43.2,0.84,15690.2,365,4.12,5072.4,1308.9,30.4,16220.2,2515.16,484.0,45.9,Moderate (Tier C)
Healthcare,221963.4,18.6,0.9,10081.1,365,4.37,13985.8,1814.3,48.0,14684.4,1159.64,264.2,46.8,Moderate (Tier C)
Manufacturing,1629843.4,70.8,0.73,63930.2,350,2.52,23198.0,7649.4,41.4,59837.3,4183.17,305.9,45.8,Moderate (Tier C)
Data Center,265493.1,70.0,0.84,6266.0,360,3.15,3554.5,516.9,52.9,3947.8,543.11,508.4,49.0,Moderate (Tier C)
Logistics Hub,439495.1,23.2,0.54,32526.2,320,3.46,31794.3,10905.5,84.1,5393.7,2590.3,162.1,45.4,Moderate (Tier C)
Logistics Hub,778363.9,27.6,0.43,58822.2,320,3.1,26836.2,6290.5,71.0,7208.9,3627.3,158.8,51.0,Moderate (Tier C)
Manufacturing,1636565.8,73.3,0.83,54452.0,250,3.32,32497.5,5905.0,38.6,20978.4,4098.53,360.7,50.3,Moderate (Tier C)
Manufacturing,1295236.6,14.0,0.61,37547.5,300,3.39,27399.7,10867.1,21.2,38724.7,7358.61,414.0,28.9,High Risk (Tier D)
Data Center,913216.4,66.9,0.86,25689.2,360,4.14,2320.3,854.5,93.4,8479.7,1564.27,426.6,59.5,Efficient (Tier B)
Commercial Office,113209.1,79.8,0.6,6920.0,240,3.32,4371.0,831.6,44.4,2120.1,358.24,196.3,63.0,Efficient (Tier B)
Commercial Office,71270.5,42.6,0.67,7403.6,240,4.09,3427.8,1097.9,31.5,1782.4,463.71,115.5,51.7,Moderate (Tier C)
Data Center,689166.3,81.7,0.87,14289.0,360,3.43,1325.3,977.0,68.6,9867.1,907.58,578.8,57.2,Efficient (Tier B)
Commercial Office,210811.0,40.5,0.46,26102.7,240,3.97,1063.6,422.1,71.0,7659.2,1009.28,96.9,57.2,Efficient (Tier B)
Logistics Hub,426679.3,44.8,0.63,51232.6,365,2.89,55167.5,10421.1,35.6,9498.3,3069.57,99.9,53.7,Moderate (Tier C)
Manufacturing,1286259.8,30.8,0.89,28896.9,300,2.49,24178.2,6407.3,44.3,32434.9,6118.84,534.1,32.1,High Risk (Tier D)
Data Center,895975.8,11.7,0.86,16506.0,360,4.4,1811.4,805.1,72.0,6356.2,4606.36,651.4,38.3,Moderate (Tier C)
Logistics Hub,972845.0,40.8,0.45,60424.2,280,4.24,35103.3,8801.5,59.8,4691.9,4054.77,193.2,57.6,Efficient (Tier B)
Healthcare,847824.1,33.8,0.76,22934.9,365,4.72,9790.6,4998.9,38.5,11932.8,3990.87,443.6,42.9,Moderate (Tier C)
Commercial Office,359907.7,53.0,0.48,17945.5,240,3.66,7003.1,2386.4,88.1,3974.2,1009.9,240.7,58.9,Efficient (Tier B)
Commercial Office,185869.0,77.8,0.53,9734.7,240,3.45,2952.1,1556.1,89.7,3690.8,325.15,229.1,69.4,Efficient (Tier B)
Manufacturing,210828.6,27.7,0.78,11467.0,300,2.71,26970.7,10980.3,66.9,11530.4,1279.73,220.6,41.4,Moderate (Tier C)
Data Center,1448624.2,32.1,0.93,24733.7,365,4.23,3134.2,1185.7,44.7,14451.6,5900.91,702.8,43.3,Moderate (Tier C)
Commercial Office,59505.4,77.3,0.63,5339.6,260,3.63,774.7,569.8,44.0,1858.3,212.18,133.7,65.0,Efficient (Tier B)
Manufacturing,2551259.7,63.1,0.73,66868.3,250,2.25,6867.4,11354.4,65.8,35261.5,5831.95,457.8,50.2,Moderate (Tier C)
Data Center,1311864.7,29.8,0.87,33370.2,360,4.06,1648.5,1416.2,71.5,17537.6,5450.39,471.7,43.6,Moderate (Tier C)
Data Center,770797.2,14.7,0.86,29646.1,365,4.44,2751.4,1809.4,85.1,22291.5,3910.18,312.0,48.4,Moderate (Tier C)
Manufacturing,323896.4,70.3,0.76,12450.3,300,3.71,16921.6,6945.2,51.7,6242.6,1085.85,312.2,57.9,Efficient (Tier B)
Data Center,1212400.1,45.5,0.79,23913.4,360,3.0,1040.7,1162.2,80.2,14469.5,3344.36,608.4,47.0,Moderate (Tier C)
Manufacturing,756552.6,61.7,0.66,43921.0,350,1.93,39006.9,13971.0,44.3,48236.2,3424.91,206.7,46.2,Moderate (Tier C)
Data Center,605564.9,67.0,0.78,11939.4,365,3.35,3111.0,1827.3,50.3,4681.6,1309.7,608.6,49.7,Moderate (Tier C)
Manufacturing,1270025.3,7.7,0.66,50611.7,350,2.6,40528.4,12087.2,61.5,36723.4,8068.62,301.1,30.5,High Risk (Tier D)
Healthcare,426049.5,30.8,0.89,9872.1,365,3.18,10793.1,1279.8,57.5,11870.9,1823.33,517.9,33.6,High Risk (Tier D)
Commercial Office,124877.5,88.8,0.59,12440.5,240,4.23,4164.5,1547.7,68.4,2459.2,300.57,120.5,75.8,Leader (Tier A)
Commercial Office,40581.1,41.7,0.67,3227.7,240,3.78,7204.8,2438.4,38.8,367.6,293.9,150.9,54.3,Moderate (Tier C)
Logistics Hub,854476.9,15.1,0.44,64137.8,280,3.14,41631.4,5011.2,78.7,5098.4,4472.17,159.9,51.0,Moderate (Tier C)
Commercial Office,427817.9,78.1,0.7,23067.5,240,4.16,1673.2,2139.8,44.4,7332.1,1051.47,222.6,59.9,Efficient (Tier B)
Manufacturing,1074439.1,44.3,0.61,30578.9,250,3.67,39838.7,6108.0,77.4,30358.6,3504.94,421.6,43.4,Moderate (Tier C)
Commercial Office,255822.4,27.9,0.65,16778.7,240,3.7,2686.9,740.6,62.7,6356.7,1213.86,183.0,45.7,Moderate (Tier C)
Commercial Office,322211.4,20.4,0.62,17554.7,260,4.22,2837.8,835.0,82.3,6167.9,1563.71,220.3,55.0,Efficient (Tier B)
Logistics Hub,402653.1,59.8,0.73,31683.0,280,3.42,53015.6,16565.9,36.0,3261.1,2128.1,152.5,58.2,Efficient (Tier B)
Data Center,267968.2,81.5,0.87,6006.4,365,3.06,2993.8,1571.7,41.8,3137.9,490.7,535.4,46.8,Moderate (Tier C)
Manufacturing,748249.2,74.0,0.73,33838.9,350,4.38,13930.2,13067.7,56.0,23122.2,2138.75,265.3,71.6,Efficient (Tier B)
Data Center,829288.7,49.3,0.89,32925.0,365,4.86,746.5,958.8,84.4,20562.4,2538.8,302.2,62.0,Efficient (Tier B)
Data Center,608668.9,66.5,0.8,10389.4,360,3.18,3352.3,1846.3,44.3,3378.5,1395.78,703.0,50.1,Moderate (Tier C)
Commercial Office,194629.3,16.0,0.71,18905.1,260,4.78,3330.4,1167.4,84.9,2153.9,1038.0,123.5,62.5,Efficient (Tier B)
Commercial Office,79770.0,81.1,0.74,5601.5,240,3.48,2354.0,1896.1,83.0,1000.5,184.55,170.9,69.1,Efficient (Tier B)
Data Center,506368.0,77.0,0.72,10893.2,365,4.87,4400.1,1968.6,86.2,5628.5,745.51,557.8,67.1,Efficient (Tier B)
Healthcare,910350.0,55.0,0.77,31977.2,365,4.52,5881.1,5603.5,54.7,20874.3,3055.43,341.6,52.5,Moderate (Tier C)
Commercial Office,324667.5,51.7,0.78,22988.8,260,2.57,7094.0,131.2,47.2,8814.5,1263.06,169.5,44.8,Moderate (Tier C)
Manufacturing,1102388.4,19.2,0.77,70074.2,350,2.51,43185.6,9243.0,29.5,79923.6,6762.08,188.8,31.9,High Risk (Tier D)
Manufacturing,2325054.4,13.1,0.66,65628.5,250,1.9,9922.1,13836.2,27.0,38307.0,12431.13,425.1,12.0,High Risk (Tier D)
Manufacturing,2306758.6,37.2,0.68,56764.9,350,2.45,21608.6,9381.1,43.6,41612.6,9236.08,487.6,30.3,High Risk (Tier D)
Manufacturing,1623549.6,55.9,0.8,48132.0,350,3.33,19177.0,6573.8,49.4,32280.6,5448.62,404.8,49.8,Moderate (Tier C)
Manufacturing,2845767.0,7.5,0.7,65687.4,250,2.86,21208.6,3506.3,54.3,67806.1,14946.86,519.9,27.2,High Risk (Tier D)
Manufacturing,1125345.4,14.2,0.87,53022.1,250,3.07,21446.0,4838.8,64.2,50741.8,6644.8,254.7,36.3,Moderate (Tier C)
Data Center,998926.6,77.2,0.92,30273.7,360,3.24,561.4,745.8,56.3,18733.2,1826.85,396.0,50.6,Moderate (Tier C)
Manufacturing,1166620.3,6.0,0.72,42217.5,250,3.59,40276.1,6912.7,57.4,23679.5,6504.24,331.6,32.0,High Risk (Tier D)
Healthcare,672021.7,56.6,0.7,22884.2,365,3.66,14797.7,2348.3,61.2,24249.8,2151.13,352.4,57.3,Efficient (Tier B)
Manufacturing,1045441.4,8.8,0.86,31370.3,250,3.57,20482.0,9766.7,49.7,10675.1,5768.78,399.9,25.8,High Risk (Tier D)
Commercial Office,355256.3,57.8,0.49,17389.4,260,4.18,3378.4,2367.9,78.7,4252.4,1017.68,245.2,63.6,Efficient (Tier B)
Data Center,366320.7,85.2,0.88,13257.1,365,4.7,3677.3,1082.8,71.7,4701.2,453.36,331.6,72.1,Efficient (Tier B)
Healthcare,432524.7,33.7,0.85,16182.5,365,2.89,14897.2,1477.8,47.1,20643.6,1806.71,320.7,40.6,Moderate (Tier C)
Manufacturing,1841587.1,38.1,0.76,67242.3,250,3.64,29361.2,11227.8,61.8,47210.3,7600.29,328.6,44.8,Moderate (Tier C)
Data Center,331906.5,83.4,0.94,8242.3,360,3.16,4731.8,669.2,82.5,5868.6,413.39,483.2,56.3,Efficient (Tier B)
Healthcare,577638.8,40.6,0.84,14246.8,365,3.99,6383.6,2165.0,52.2,7608.9,2323.04,486.5,44.2,Moderate (Tier C)
Healthcare,678986.6,18.5,0.74,21295.5,365,4.08,13716.4,1652.4,54.4,17452.8,3198.6,382.6,41.4,Moderate (Tier C)
Logistics Hub,1067566.8,47.1,0.5,62376.6,365,2.63,42135.6,4799.9,70.2,14268.9,4180.21,205.4,49.6,Moderate (Tier C)
Data Center,906228.9,20.9,0.71,29947.2,365,4.17,1675.6,1967.4,41.4,22123.2,4768.66,363.1,34.7,High Risk (Tier D)
Manufacturing,1813253.0,41.1,0.88,54741.5,250,4.45,30481.9,3939.7,30.0,61051.2,7183.61,397.5,42.4,Moderate (Tier C)
Commercial Office,517362.2,38.2,0.71,27808.3,240,4.35,5116.2,1909.1,56.4,6511.7,2348.64,223.3,49.6,Moderate (Tier C)
Healthcare,817585.6,46.5,0.72,19953.6,365,4.12,3780.8,4371.7,50.8,28027.5,2998.9,491.7,45.3,Moderate (Tier C)
Commercial Office,485234.5,22.2,0.54,28911.3,240,4.59,1283.6,1828.6,85.0,8852.2,2299.1,201.4,60.7,Efficient (Tier B)
Commercial Office,234575.1,78.2,0.71,17917.2,240,2.71,5555.1,235.6,50.9,5408.4,722.56,157.1,63.0,Efficient (Tier B)
Data Center,807003.0,81.6,0.78,20663.8,360,4.24,2553.5,1809.4,84.1,10305.5,1041.1,468.6,65.2,Efficient (Tier B)
Logistics Hub,333091.5,52.8,0.54,41682.8,280,2.52,49945.1,15503.1,52.7,2580.0,1963.44,95.9,58.7,Efficient (Tier B)
Manufacturing,2540050.8,73.6,0.86,61603.2,350,2.53,39204.4,6157.6,37.4,72429.4,5598.0,494.8,48.5,Moderate (Tier C)
Data Center,309456.6,47.3,0.81,6229.3,360,4.61,1721.2,1048.9,46.2,3903.3,930.73,596.1,50.3,Moderate (Tier C)
Data Center,1489633.8,56.9,0.86,26176.5,360,3.8,2013.4,622.1,74.7,12784.3,3605.9,682.9,48.0,Moderate (Tier C)
Commercial Office,195772.1,30.7,0.51,9199.3,240,2.85,573.9,671.4,40.7,3183.7,942.58,255.4,32.0,High Risk (Tier D)
Manufacturing,672504.1,30.9,0.62,18443.4,350,4.05,14998.4,9314.3,51.6,15246.7,3004.8,437.6,44.3,Moderate (Tier C)
Manufacturing,585282.0,8.6,0.66,30395.8,250,3.64,31429.1,13407.3,77.5,29080.0,3406.4,231.1,44.2,Moderate (Tier C)
Commercial Office,371569.2,71.1,0.66,26154.9,260,2.81,2901.4,2292.3,32.4,5826.5,1317.03,170.5,59.1,Efficient (Tier B)
Data Center,661822.5,52.1,0.89,12426.9,365,3.09,4105.3,1287.9,80.8,3965.8,1730.45,639.1,43.4,Moderate (Tier C)
Commercial Office,353447.0,38.5,0.56,23571.5,240,2.54,4120.5,894.4,78.7,7592.2,1356.93,179.9,49.4,Moderate (Tier C)
Manufacturing,1889290.4,13.9,0.9,48672.0,250,2.12,31197.6,5399.6,80.7,14612.2,8923.41,465.8,31.1,High Risk (Tier D)
Commercial Office,296256.3,38.3,0.72,26285.9,260,3.79,4064.7,1997.4,65.0,3681.7,1418.06,135.2,54.9,Moderate (Tier C)
Commercial Office,291554.1,16.7,0.76,21346.6,240,4.12,5336.4,997.5,44.7,8224.5,1746.64,163.9,49.1,Moderate (Tier C)
Manufacturing,1720750.9,54.5,0.68,69869.5,350,3.61,12870.4,12747.8,52.5,27601.2,6200.08,295.5,50.7,Moderate (Tier C)
Data Center,914801.2,42.0,0.87,31097.9,365,4.93,1070.0,957.1,60.0,15193.3,3262.37,353.0,53.7,Moderate (Tier C)
Manufacturing,476496.3,51.2,0.73,13397.5,350,3.47,31034.7,4386.7,79.1,6916.9,1591.43,426.8,45.6,Moderate (Tier C)
Manufacturing,1546600.4,28.8,0.64,73855.4,250,4.14,16788.6,2021.7,84.4,37033.8,6172.21,251.3,54.8,Moderate (Tier C)
Healthcare,687501.6,17.2,0.73,27371.0,365,3.46,2256.4,1503.0,32.7,31879.5,4313.3,301.4,39.4,Moderate (Tier C)
Data Center,799710.8,89.6,0.85,15522.1,360,4.15,796.5,544.3,60.7,6898.7,728.0,618.2,64.4,Efficient (Tier B)
Logistics Hub,483706.4,74.9,0.44,58164.8,365,3.44,54372.3,15351.6,83.9,14320.0,1793.33,99.8,70.9,Efficient (Tier B)
Data Center,1019850.2,26.4,0.73,26948.1,365,3.63,1828.0,1520.1,45.4,19477.2,4349.9,454.1,38.9,Moderate (Tier C)
Commercial Office,350044.1,38.5,0.64,27138.3,260,4.74,6210.9,1116.1,59.2,2750.5,1553.23,154.8,58.7,Efficient (Tier B)
Logistics Hub,232456.0,59.7,0.55,36076.3,280,3.91,50671.7,12807.6,70.6,2905.3,1411.92,77.3,74.5,Efficient (Tier B)
Commercial Office,36943.2,74.3,0.57,2684.0,240,3.33,5508.5,197.4,77.2,583.0,104.53,165.2,63.9,Efficient (Tier B)
Commercial Office,239472.0,74.5,0.54,22052.2,260,4.48,2388.6,2454.5,30.6,6265.3,1019.39,130.3,68.2,Efficient (Tier B)
Data Center,541405.9,79.3,0.71,10503.7,360,3.64,3185.0,1288.6,43.4,5126.6,836.57,618.5,57.5,Efficient (Tier B)
Data Center,1246837.1,43.8,0.73,29464.6,365,4.04,3839.9,1117.5,41.5,13361.3,4602.55,507.8,40.0,Moderate (Tier C)
Healthcare,906463.7,11.1,0.87,20415.6,365,3.46,9641.3,5205.9,24.1,18076.0,4959.99,532.8,24.3,High Risk (Tier D)
Logistics Hub,848019.9,58.9,0.64,48175.5,280,3.54,52637.3,15622.7,42.5,11621.2,3491.1,211.2,57.9,Efficient (Tier B)
Healthcare,279884.1,69.6,0.78,8750.4,365,3.28,3621.1,3848.3,61.7,10856.4,717.48,383.8,45.0,Moderate (Tier C)
Manufacturing,2062754.4,65.7,0.9,61586.1,300,1.88,29204.1,6748.9,68.5,35030.5,4885.73,401.9,45.0,Moderate (Tier C)
Logistics Hub,809064.9,57.1,0.45,70754.8,320,3.18,39459.3,13963.5,72.3,6522.6,3259.43,137.2,60.9,Efficient (Tier B)
Healthcare,1221026.6,33.9,0.68,28669.0,365,3.15,7572.6,1458.9,35.7,29326.3,5188.28,511.1,36.8,Moderate (Tier C)
Manufacturing,527499.5,72.8,0.78,21049.3,300,4.02,27179.6,4157.6,68.9,15176.2,1211.4,300.7,60.6,Efficient (Tier B)
Manufacturing,1002653.5,18.8,0.74,62725.6,250,4.04,6970.9,12229.3,40.6,49776.6,5904.38,191.8,39.9,Moderate (Tier C)
Logistics Hub,396611.4,53.8,0.42,33325.4,280,4.5,52948.6,9064.8,72.2,1735.2,1364.18,142.8,66.4,Efficient (Tier B)
Commercial Office,435795.8,70.8,0.75,20222.5,240,2.76,1672.5,1148.9,62.7,4430.1,954.86,258.6,53.7,Moderate (Tier C)
Logistics Hub,290446.2,14.7,0.48,40228.7,365,2.82,30330.8,8535.7,79.8,6735.3,1905.89,86.6,47.5,Moderate (Tier C)
Manufacturing,1635220.8,72.1,0.81,46554.6,250,3.41,8607.8,9272.2,66.5,17721.9,3304.65,421.5,52.2,Moderate (Tier C)
Logistics Hub,937382.3,69.5,0.61,66230.4,365,3.05,51324.5,9137.9,80.8,7510.5,2353.57,169.8,58.8,Efficient (Tier B)
Manufacturing,1325722.9,73.6,0.86,33163.8,250,2.45,25388.9,6559.5,42.8,23335.3,3290.79,479.7,43.1,Moderate (Tier C)
Manufacturing,748661.3,21.0,0.61,39391.9,350,3.85,10994.5,8861.9,20.7,20809.9,4740.2,228.1,38.6,Moderate (Tier C)
Manufacturing,448467.6,8.2,0.64,18472.1,250,1.8,39860.3,2364.6,37.3,17391.1,2601.78,291.3,20.2,High Risk (Tier D)
Logistics Hub,494910.2,55.8,0.47,47318.2,365,3.78,33626.7,7780.8,55.0,4323.3,2370.49,125.5,62.5,Efficient (Tier B)
Commercial Office,124070.2,62.7,0.65,7030.5,260,3.21,2314.7,768.3,72.5,2593.8,358.05,211.8,59.9,Efficient (Tier B)
Commercial Office,575313.3,82.6,0.71,27704.3,260,3.38,7676.1,891.9,42.6,10767.4,1166.48,249.2,55.7,Efficient (Tier B)
Data Center,1741897.1,11.9,0.76,29106.3,365,3.62,3251.1,1935.3,43.1,7490.3,8620.33,718.2,28.3,High Risk (Tier D)
Healthcare,424350.0,33.5,0.83,9939.0,365,4.15,8793.4,4866.2,47.0,5677.3,1880.86,512.3,41.2,Moderate (Tier C)
Data Center,329856.2,25.4,0.78,8312.3,365,4.53,911.7,1125.0,84.6,2817.4,1410.11,476.2,47.2,Moderate (Tier C)
Logistics Hub,263751.0,11.6,0.73,23777.5,365,3.08,29988.9,9971.6,82.1,1851.3,1584.23,133.1,42.3,Moderate (Tier C)
Data Center,1001299.5,87.9,0.93,21623.9,360,3.31,3800.0,200.7,55.8,12059.8,1092.55,555.7,60.0,Efficient (Tier B)
Data Center,505137.2,32.4,0.88,10565.8,360,3.1,1168.3,945.1,59.6,5177.6,2083.64,573.7,33.5,High Risk (Tier D)
Commercial Office,97368.4,73.6,0.73,6557.7,240,3.48,4530.6,154.0,69.2,1529.5,253.36,178.2,62.5,Efficient (Tier B)
Data Center,1367136.0,34.3,0.7,24054.7,365,3.81,3096.4,473.9,92.6,7360.4,4365.89,682.0,48.2,Moderate (Tier C)
Logistics Hub,853078.2,66.2,0.69,62717.1,320,4.11,44662.0,9572.8,52.4,9578.6,3069.37,163.2,64.0,Efficient (Tier B)
Commercial Office,120177.2,57.2,0.77,12867.4,240,3.32,994.2,500.9,48.2,5119.3,564.22,112.1,60.4,Efficient (Tier B)
Manufacturing,652523.3,10.5,0.8,28733.2,350,4.41,32353.7,11504.5,51.7,16190.2,4141.71,272.5,44.3,Moderate (Tier C)
Healthcare,492010.7,70.0,0.89,19639.5,365,3.69,4271.2,1833.0,34.7,13920.1,1372.15,300.6,55.4,Efficient (Tier B)
Data Center,714611.5,49.4,0.77,14864.1,360,3.54,3957.9,1793.0,65.9,4948.5,2036.62,576.9,46.3,Moderate (Tier C)
Commercial Office,494253.3,64.2,0.63,26460.1,240,3.21,1587.7,1868.3,25.6,7419.8,1793.18,224.2,51.9,Moderate (Tier C)
Healthcare,916494.5,59.4,0.74,42318.1,365,3.61,2017.6,3384.9,68.4,51970.5,2695.49,259.9,53.1,Moderate (Tier C)
Commercial Office,263475.5,89.5,0.48,15656.1,260,3.97,7081.2,1103.5,31.9,5844.5,659.26,201.9,69.5,Efficient (Tier B)
